Nation:,Type / Application:,Operator:,Contractors:,Equipment:,Configuration:,Propulsion:,Power:,Lifetime:,Mass:,Orbit:,titulo
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Crewed spacecraft,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Soyuz-T Tests (7K-S, 11F732)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 14, 15, 20, 23, 24, 30 (7K-T, 11F615A9)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MK (Germes, 11F692)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR / Russia,Life Science,,TsSKB → TsSKB-Progress,,Zenit Bus,11D82M,Batteries,5-22 days,,,Bion (12KS)
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Soyuz-T 1 - 15 (7K-ST, 11F732)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 14, 15, 20, 23, 24, 30 (7K-T, 11F615A9)"
USSR,Cosmic radiation,,TsSKB,,Zenit Bus,11D82M,Batteries,8 days,5886 kg,"203 km × 326 km, 51.8° (#1); 212 km × 247 km, 51.7° (#2)","Energiya 1, 2 (13KS)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Soyuz-T 1 - 15 (7K-ST, 11F732)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB, package,Zenit bus,11D82M ?,Batteries,12 days,~6300 kg,see above,"Zenit-2M (Gektor, 11F690)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-18 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",45 days,,,"Yantar-4K1 (Oktan, 11F693)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,Earth observation (film return type),,TsSKB,,Zenit bus,11D82M ?,Batteries,13 days,6300 kg,,"Zenit-2M/NKh (Gektor-Priroda, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,Earth observation (film return type),,TsSKB,,Zenit bus,11D82M ?,Batteries,13 days,6300 kg,,"Zenit-2M/NKh (Gektor-Priroda, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Earth observation (film return type),,TsSKB,,Zenit bus,11D82M ?,Batteries,13 days,6300 kg,,"Zenit-2M/NKh (Gektor-Priroda, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,Earth observation (film return type),,TsSKB,,Zenit bus,11D82M ?,Batteries,13 days,6300 kg,,"Zenit-2M/NKh (Gektor-Priroda, 11F690)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Earth Observation (film return),,TsSKB,"Priroda-4 imaging system (2 × KFA-1000, 3 × KATE-200)",Vostok / Zenit Capsule,11D82M; S5.120 (maneuver module),Batteries,,6300 kg,SSO,Resurs-F1 (17F41)
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR / Russia,Life Science,,TsSKB → TsSKB-Progress,,Zenit Bus,11D82M,Batteries,5-22 days,,,Bion (12KS)
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Crewed spacecraft,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Soyuz-T 1 - 15 (7K-ST, 11F732)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-4 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",30 days,6600 kg,,"Yantar-2K (Feniks, 11F624)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-4MKM (Gerakl, 11F692M)"
USSR,Cargo,RKK,,,,KTDU-80,Batteries,,,,"Progress 1 - 42 (11F615A15, 7K-TG)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Zhemchug-18 camera,"Yantar Bus, main reentry module, 2 small reentry capsules",,"2 deployable solar arrays, batteries",45 days,,,"Yantar-4K1 (Oktan, 11F693)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M,Batteries,,,,"Zenit-4MT (Orion, 11F629)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,Priroda-3,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,,6100 kg,,"Zenit-4MKT (Fram, 11F635)"
USSR,Crewed spacecraft,,,docking system,7K-TM,KTDU-35,Batteries,,,,"Soyuz 12, 17, 18, 21, 25 - 29, 31 - 40 (7K-T, 11F615A8)"
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
USSR,Crewed spacecraft,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Soyuz-T 1 - 15 (7K-ST, 11F732)"
USSR,Earth Observation (film return),,TsSKB,"Priroda-4 imaging system (2 × KFA-1000, 3 × KATE-200)",Vostok / Zenit Capsule,11D82M; S5.120 (maneuver module),Batteries,,6300 kg,SSO,Resurs-F1 (17F41)
USSR,"Reconnaissance, photo (film return type)",GRU,TsSKB,,Zenit bus,11D82M; S5.120 (maneuver module),Batteries,14 days,6300 kg,,"Zenit-6U (Argon, 11F645)"
